source_id,title,authority,source_type,official_url,downloaded_file,topic,subtopic,language,document_number,effective_from,effective_to,retrieved_at,trust_level,status,notes
DJP_PPN_001,Ketentuan Nilai Lain sebagai Dasar Pengenaan Pajak dan Besaran Tertentu PPN (PMK 11/2025),DJP,regulation,https://www.pajak.go.id/en/node/113878,,ppn_vat,dpp_nilai_lain,id,PMK 11 Tahun 2025,2025-02-04,,2026-09-02,regulation,collected,fetch-verified: page retrieved and read; confirms 11/12 DPP nilai lain construction
KEMENKEU_PPN_002,"PMK Nomor 11 Tahun 2025 (PDF, JDIH Kemenkeu)",JDIH Kemenkeu,regulation,https://jdih.kemenkeu.go.id/api/download/52955502-8733-4fdd-98ce-bb03c31cda0b/2025pmkeuangan11.pdf,,ppn_vat,dpp_nilai_lain,id,PMK 11 Tahun 2025,2025-02-04,,2026-09-02,regulation,collected,search-listed on official domain; URL not individually fetched; PRIMARY regulation text — download for reviewer
BPK_PPN_003,PMK No. 11 Tahun 2025 (peraturan.bpk.go.id),Other official,regulation,https://peraturan.bpk.go.id/Details/313574/pmk-no-11-tahun-2025,,ppn_vat,dpp_nilai_lain,id,PMK 11 Tahun 2025,2025-02-04,,2026-09-02,regulation,collected,search-listed on official domain; URL not individually fetched; consolidated regulation record
DJP_PPN_004,PMK 131/2024: Tarif PPN Sebelas-Dua Belas,DJP,official_guidance,https://www.pajak.go.id/en/node/113453,,ppn_vat,rate,id,PMK 131 Tahun 2024,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPN_005,Pemerintah Terbitkan Aturan DPP Nilai Lain dan Besaran Tertentu PPN,DJP,announcement,https://www.pajak.go.id/en/node/114038,,ppn_vat,dpp_nilai_lain,id,,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched
DJP_PPN_006,Siaran Pers SP-4: Aturan DPP Nilai Lain dan Besaran Tertentu PPN (PDF),DJP,announcement,https://pajak.go.id/sites/default/files/2025-02/SP-4%20PEMERINTAH%20TERBITKAN%20ATURAN%20DPP%20NILAI%20LAIN%20DAN%20BESARAN%20TERTENTU%20PPN.pdf,,ppn_vat,dpp_nilai_lain,id,SP-4/2025,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched
DJP_PPN_007,Perubahan atas PMK 11 Tahun 2025 tentang Nilai Lain sebagai DPP dan Besaran Tertentu PPN,DJP,regulation,https://www.pajak.go.id/en/node/117215,,ppn_vat,dpp_nilai_lain,id,,,,2026-09-02,regulation,collected,search-listed on official domain; URL not individually fetched; AMENDMENT to PMK 11/2025 — reviewer must establish which version is current
DJP_PPN_008,"PPN 2025: Kebijakan Baru, Beban Pajak Tetap Ringan untuk Masyarakat (PDF)",DJP,announcement,https://www.pajak.go.id/sites/default/files/2025-01/SP%201%202025.pdf,,ppn_vat,rate,id,SP-1/2025,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched
DJP_PPN_009,PPN 2025: Kebijakan Baru (halaman),DJP,announcement,https://www.pajak.go.id/en/node/113455,,ppn_vat,rate,id,,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched
KEMENKEU_PPN_010,Pemberlakuan Tarif PPN 12% Sejak Tahun 2025 (Kemenkeu Learning Center),Kemenkeu,official_guidance,https://klc2.kemenkeu.go.id/kms/knowledge/pemberlakuan-tarif-ppn-12-sejak-tahun-2025-fb2ffc8f/detail/,,ppn_vat,rate,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
